DEBUG [2024-07-31 16:45:25,759] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-07-31 16:45:26,227] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-07-31 16:45:26,245] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-07-31 16:45:26,247] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:0001-01-01 오전 12:00:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-07-31 16:45:26,267] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-07-31 16:45:26,269] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-07-31 16:45:26,270] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-07-31 16:45:26,271] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:0001-01-01 오전 12:00:00; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-07-31 16:45:26,282] [25] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-07-31 16:45:54,026] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-07-31 16:46:08,695] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-07-31 16:46:08,710] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: cnu-
