2024-07-24T09:34:31.547Z [info] [proc] 명령 실행 중: "C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\CMake\bin\cmake.exe" --version
2024-07-24T09:34:31.835Z [info] [proc] 명령 실행 중: "C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\CMake\bin\cmake.exe" -E capabilities
2024-07-24T09:34:31.934Z [debug] [main] 새 CMakeProject 인스턴스를 안전하게 생성
2024-07-24T09:34:31.935Z [debug] [variant] VariantManager을(를) 생성하는 중
2024-07-24T09:34:31.936Z [debug] [main] 새 CMakeProject 인스턴스 생성
2024-07-24T09:34:31.936Z [debug] [main] CMake Tools 2단계 초기화 시작
2024-07-24T09:34:31.938Z [debug] [expand] ${workspaceFolder} 확장됨
2024-07-24T09:34:32.025Z [info] [variant] 새 variant 세트를 로드함
2024-07-24T09:34:32.027Z [debug] [kit] 키트 파일 C:\Users\amyle\AppData\Local\CMakeTools\cmake-tools-kits.json을(를) 읽는 중
2024-07-24T09:34:32.065Z [info] [kit] C:\Users\amyle\AppData\Local\CMakeTools\cmake-tools-kits.json에서 4개 키트를 로드함
2024-07-24T09:34:32.123Z [debug] [kit] 존재하지 않는 키트 파일을 읽지 않음: c:\Users\amyle\Desktop\CNU\기초부터\.vscode\cmake-kits.json
2024-07-24T09:34:32.127Z [debug] [main] CMakeProject 인스턴스 초기화가 완료되었습니다.
2024-07-24T09:35:07.173Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:13.176Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:15.373Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:18.426Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:20.012Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:21.329Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:27.589Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:31.955Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:35.702Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:40.057Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:42.558Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:48.000Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:51.331Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:55.906Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:35:59.788Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:36:01.945Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:36:04.355Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:36:06.492Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:36:12.742Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
